customerID,companyName,contactName,contactTitle,city,country
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Stavern,Norway
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,Boise,USA
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,London,UK
SIMOB,Simons bistro,Jytte Petersen,Owner,Kobenhavn,Denmark
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,Paris,France
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,USA
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,Portland,USA
THECR,The Cracker Box,Liu Wong,Marketing Assistant,Butte,USA
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,Germany
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,Mexico City,Mexico
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,Sao Paulo,Brazil
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,Kirkland,USA
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Århus,Denmark
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,Stuttgart,Germany
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland
WELLI,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil
WHITC,White Clover Markets,Karl Jablonski,Owner,Seattle,USA
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Helsinki,Finland
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,Warszawa,Poland
